symbol,Report Date,Publish Date,eps_diluted,Operating Income (Loss),Net Income,Revenue,total_equity,total_debt,cash,enterprise_value_proxy,ebit_over_tev,return_on_equity,net_profit_margin,profitability_to_book_proxy
ABNB,2023-03-31,2023-05-09,0.18996867952283764,-5000000.0,117000000.0,1818000000.0,5291000000.0,1988000000.0,10594000000.0,-3315000000.0,0.0015082956259426848,0.022113022113022112,0.06435643564356436,0.022113022113022112
ABNB,2023-06-30,2023-08-03,0.9774436090225563,523000000.0,650000000.0,2484000000.0,5059000000.0,1989000000.0,10340000000.0,-3292000000.0,-0.1588699878493317,0.1284838900968571,0.2616747181964573,0.1284838900968571
ABNB,2023-09-30,2023-11-01,6.5774436090225565,1496000000.0,4374000000.0,3397000000.0,9123000000.0,1990000000.0,10962000000.0,151000000.0,9.907284768211921,0.47944755014797763,1.2876067118045333,0.47944755014797763
ABNB,2023-12-31,2024-02-16,-0.524812030075188,-496000000.0,-349000000.0,2218000000.0,8165000000.0,1991000000.0,10071000000.0,85000000.0,-5.8352941176470585,-0.04274341702388242,-0.15734896302975654,-0.04274341702388242
ABNB,2024-03-31,2024-05-08,0.3969924812030075,101000000.0,264000000.0,2142000000.0,7896000000.0,1992000000.0,11093000000.0,-1205000000.0,-0.08381742738589211,0.03343465045592705,0.12324929971988796,0.03343465045592705
ABNB,2024-06-30,2024-08-06,0.8345864661654135,497000000.0,555000000.0,2748000000.0,8002000000.0,1993000000.0,11251000000.0,-1256000000.0,-0.39570063694267515,0.06935766058485379,0.2019650655021834,0.06935766058485379
ABNB,2024-09-30,2024-11-07,2.057142857142857,1525000000.0,1368000000.0,3732000000.0,8488000000.0,1994000000.0,11253000000.0,-771000000.0,-1.9779507133592737,0.16116870876531575,0.3665594855305466,0.16116870876531575
ABNB,2024-12-31,2025-02-13,0.6932330827067669,430000000.0,461000000.0,2480000000.0,8412000000.0,1995000000.0,10611000000.0,-204000000.0,-2.107843137254902,0.05480266286257727,0.18588709677419354,0.05480266286257727
ABNB,2025-03-31,2025-05-01,0.23157894736842105,38000000.0,154000000.0,2272000000.0,7937000000.0,1996000000.0,11492000000.0,-1559000000.0,-0.024374599101988453,0.019402797026584352,0.06778169014084508,0.019402797026584352
ABT,2020-06-30,2020-07-29,0.3008335947653834,672000000.0,537000000.0,7328000000.0,30798000000.0,19679000000.0,5037000000.0,45440000000.0,0.014788732394366197,0.017436197155659458,0.07328056768558952,0.017436197155659458
ABT,2020-09-30,2020-11-04,0.6890946850775763,1495000000.0,1232000000.0,8853000000.0,31595000000.0,18563000000.0,4731000000.0,45427000000.0,0.03290994342571599,0.03899351163158728,0.13916186603411274,0.03899351163158728
ABT,2020-12-31,2021-02-19,1.2074643862232892,2432000000.0,2162000000.0,10701000000.0,33003000000.0,18747000000.0,7148000000.0,44602000000.0,0.05452670283843774,0.06550919613368482,0.20203719278572096,0.06550919613368482
ABT,2021-03-31,2021-05-05,1.0008356112158339,2109000000.0,1793000000.0,10456000000.0,33788000000.0,18444000000.0,8372000000.0,43860000000.0,0.04808481532147743,0.05306617734106783,0.1714804896710023,0.05306617734106783
ABT,2021-06-30,2021-08-04,0.6636885341526082,1392000000.0,1189000000.0,10223000000.0,34029000000.0,18501000000.0,8944000000.0,43586000000.0,0.03193686045978066,0.03494078580034676,0.11630636799373961,0.03494078580034676
ABT,2021-09-30,2021-11-03,1.1784511784511784,2546000000.0,2100000000.0,10928000000.0,34638000000.0,18397000000.0,9692000000.0,43343000000.0,0.058740742449761206,0.06062705698943357,0.19216691068814057,0.06062705698943357
ABT,2021-12-31,2022-02-18,1.1161616161616161,2378000000.0,1989000000.0,11468000000.0,36024000000.0,18050000000.0,10249000000.0,43825000000.0,0.05426126640045636,0.05521319120586276,0.17343913498430416,0.05521319120586276
ABT,2022-03-31,2022-05-03,1.3785915492957745,2912000000.0,2447000000.0,11895000000.0,35629000000.0,17090000000.0,8158000000.0,44561000000.0,0.06534862323556473,0.06868000785876674,0.2057166876839008,0.06868000785876674
ABT,2022-06-30,2022-08-02,1.143342776203966,2376000000.0,2018000000.0,11257000000.0,36716000000.0,16760000000.0,9290000000.0,44186000000.0,0.05377268818177704,0.05496241420634056,0.17926623434307543,0.05496241420634056
ABT,2022-09-30,2022-11-01,0.8130311614730878,1770000000.0,1435000000.0,10410000000.0,35884000000.0,16414000000.0,9907000000.0,42391000000.0,0.04175414592720153,0.039989967673614985,0.1378482228626321,0.039989967673614985
ABT,2022-12-31,2023-02-17,0.5617183251767265,1304000000.0,1033000000.0,10091000000.0,36905000000.0,16773000000.0,10170000000.0,43508000000.0,0.02997149949434587,0.027990787156211894,0.10236844713110693,0.027990787156211894
ABT,2023-03-31,2023-05-04,0.752283105022831,1509000000.0,1318000000.0,9747000000.0,37232000000.0,16900000000.0,9532000000.0,44600000000.0,0.033834080717488786,0.035399656209712076,0.13522109366984714,0.035399656209712076
ABT,2023-06-30,2023-08-03,0.7857142857142857,1542000000.0,1375000000.0,9978000000.0,37404000000.0,16846000000.0,8155000000.0,46095000000.0,0.03345265213146762,0.03676077424874345,0.1378031669673281,0.03676077424874345
ABT,2023-09-30,2023-11-01,0.8215102974828375,1647000000.0,1436000000.0,10143000000.0,37694000000.0,15528000000.0,7047000000.0,46175000000.0,0.035668651867893884,0.0380962487398525,0.14157547076801735,0.0380962487398525
ABT,2023-12-31,2024-02-16,0.9129438717067583,1780000000.0,1594000000.0,10241000000.0,38827000000.0,14679000000.0,7279000000.0,46227000000.0,0.03850563523481948,0.04105390578720993,0.15564886241577972,0.04105390578720993
